date,unit,title,link
2024.10.24,註冊組,公告114學年度研究所甄試錄取生申請提前入學注意事項,https://pdc.adm.ncu.edu.tw/postM/post/reg/1131024_1.pdf
2024.10.15,課務組,【課程停修申請】113(一)10月21日至11月29日止，相關說明請點選此公告,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5058
2024.10.08,教學發展中心,1131校園X智財X專題演講~開始報名囉,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5056
2024.10.07,教學發展中心,EMI 教師教學增能工作坊,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5054
2024.10.01,註冊組,113學年度第2學期長庚大學交換學生申請公告,https://pdc.adm.ncu.edu.tw/postM/post/reg/1130828_1.pdf
2024.09.23,註冊組,9/25早上10點起開放甄試成績排名證明書,https://pdc.adm.ncu.edu.tw/postM/post/reg/1130923_1.pdf
2024.09.11,註冊組,113 學年度第 1 學期頒發學位證書相關注意事項,https://pdc.adm.ncu.edu.tw/postM/post/reg/1130911_1.pdf
2024.09.10,教學發展中心,【競賽】AI智慧學習挑戰賽，等你來挑戰！,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5042
2024.09.10,教學發展中心,【諮詢】ideaNCU跨領域自主學習諮詢服務,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5041
2024.09.06,教學發展中心,[智財宣導]著作權法第46條規定之遠距教學應採取合理技術措施之指引,https://pdc.adm.ncu.edu.tw/postM/post/tldc/1130904_2.pdf
